term,class_label,shift,campus,curriculum,on_schedule_term,instructor_prior,n_A,n_B,n_C,n_D,n_F,n_O,n_I,n_no_grade,n_assessed,n_passed,n_failed
2009.3,,day,,pre-2015,1,False,0,14,8,0,7,0,0,0,29,22,7
2009.3,,day,,pre-2015,1,False,1,18,4,0,6,0,0,0,29,23,6
2009.3,,day,,pre-2015,1,False,0,9,6,0,13,0,0,0,28,15,13
2009.3,,day,,pre-2015,1,False,0,5,10,0,15,0,0,0,30,15,15
2009.3,,day,,pre-2015,1,False,1,8,12,2,6,0,0,0,29,23,6
2009.3,,day,,pre-2015,1,False,2,5,3,3,15,0,0,0,28,13,15
2009.3,,day,,pre-2015,1,False,0,3,8,7,8,0,0,0,26,18,8
2009.3,,day,,pre-2015,1,False,0,2,4,9,10,0,0,0,25,15,10
2009.3,,day,,pre-2015,1,False,1,2,6,14,6,0,0,0,29,23,6
2009.3,,day,,pre-2015,1,False,3,9,13,2,1,0,0,0,28,27,1
2009.3,,day,,pre-2015,1,False,3,7,10,5,3,0,0,0,28,25,3
2009.3,,day,,pre-2015,1,False,4,8,11,6,0,0,0,0,29,29,0
2009.3,,day,,pre-2015,1,False,2,17,8,0,4,0,0,0,31,27,4
2009.3,,day,,pre-2015,1,False,1,3,7,0,12,0,0,0,23,11,12
2009.3,,day,,pre-2015,1,False,4,4,8,0,5,0,0,1,21,16,5
2009.3,,day,,pre-2015,1,False,5,2,10,0,8,0,0,0,25,17,8
2009.3,,day,,pre-2015,1,False,4,8,10,6,2,0,0,0,30,28,2
2009.3,,day,,pre-2015,1,False,3,9,15,2,1,0,0,0,30,29,1
2009.3,,day,,pre-2015,1,False,2,8,8,4,6,0,0,0,28,22,6
2009.3,,day,,pre-2015,1,False,4,2,10,8,3,1,0,0,28,24,4
2009.3,,day,,pre-2015,1,False,2,6,15,3,2,1,0,0,29,26,3
2009.3,,day,,pre-2015,1,False,1,4,9,8,4,1,0,0,27,22,5
2009.3,,day,,pre-2015,1,False,0,10,12,0,8,0,0,0,30,22,8
2009.3,,evening,,pre-2015,1,False,4,5,6,1,3,0,0,0,19,16,3
2009.3,,evening,,pre-2015,1,False,2,1,4,2,7,4,0,0,20,9,11
2009.3,,evening,,pre-2015,1,False,4,3,8,1,8,0,0,0,24,16,8
2009.3,,evening,,pre-2015,1,False,6,4,1,0,2,0,1,0,13,11,2
2009.3,,evening,,pre-2015,1,False,3,5,2,2,3,0,0,0,15,12,3
2009.3,,evening,,pre-2015,1,False,3,5,5,1,3,0,0,0,17,14,3
2009.3,,evening,,pre-2015,1,False,5,7,4,2,3,0,0,0,21,18,3
2009.3,,evening,,pre-2015,1,False,2,3,3,2,7,0,0,0,17,10,7
2009.3,,evening,,pre-2015,1,False,3,5,7,0,5,0,0,0,20,15,5
2009.3,,evening,,pre-2015,1,False,1,5,8,1,6,0,0,0,21,15,6
2009.3,,evening,,pre-2015,1,False,1,5,9,2,6,0,0,0,23,17,6
2010.1,,day,,pre-2015,0,False,5,10,7,1,3,2,0,0,28,23,5
2010.1,,day,,pre-2015,0,False,3,9,8,1,1,3,0,0,25,21,4
2010.1,,evening,,pre-2015,0,False,2,9,3,0,12,0,0,0,26,14,12
2010.1,,evening,,pre-2015,0,False,3,3,10,0,10,0,0,0,26,16,10
2010.2,,day,,pre-2015,1,False,1,11,9,3,3,0,0,0,27,24,3
2010.2,,day,,pre-2015,1,False,2,7,6,7,6,0,0,0,28,22,6
2010.2,,day,,pre-2015,1,False,3,4,1,8,8,0,0,0,24,16,8
2010.2,,day,,pre-2015,1,False,3,4,7,2,7,2,0,0,25,16,9
2010.2,,day,,pre-2015,1,False,2,2,2,1,10,0,0,0,17,7,10
2010.2,,day,,pre-2015,1,False,0,4,4,2,14,2,0,0,26,10,16
2010.2,,evening,,pre-2015,1,False,1,6,5,3,8,3,0,0,26,15,11
2010.2,,evening,,pre-2015,1,False,4,11,1,1,4,3,0,0,24,17,7
2010.2,,evening,,pre-2015,1,False,2,5,2,3,3,5,0,0,20,12,8
2011.1,,day,1,pre-2015,1,False,2,3,6,2,14,0,0,0,27,13,14
2011.1,,day,1,pre-2015,1,False,5,5,4,1,12,0,0,0,27,15,12
2011.1,,day,2,pre-2015,1,False,1,6,3,2,11,0,0,0,23,12,11
2011.1,,day,1,pre-2015,1,False,4,4,2,2,7,4,0,0,23,12,11
2011.1,,day,2,pre-2015,1,False,9,9,3,2,5,0,0,0,28,23,5
2011.1,,day,1,pre-2015,1,False,5,13,9,0,1,0,0,0,28,27,1
2011.1,,day,1,pre-2015,1,False,3,11,6,4,1,0,0,0,25,24,1
2011.1,,day,2,pre-2015,1,False,3,6,10,0,0,0,1,0,19,19,0
2011.1,,day,1,pre-2015,1,False,11,3,6,5,2,2,0,0,29,25,4
2011.1,,day,1,pre-2015,1,False,0,3,7,5,1,0,6,0,16,15,1
2011.1,,day,1,pre-2015,1,False,6,5,11,0,4,0,0,0,26,22,4
2011.1,,day,1,pre-2015,1,False,1,5,7,6,5,4,0,0,28,19,9
2011.1,,day,1,pre-2015,1,False,2,4,2,0,15,0,0,0,23,8,15
2011.1,,day,1,pre-2015,1,False,6,8,8,1,3,2,0,0,28,23,5
2011.1,,day,1,pre-2015,1,False,10,7,3,5,3,2,0,0,30,25,5
2011.1,,day,1,pre-2015,1,False,10,8,8,0,1,0,0,0,27,26,1
2011.1,,day,1,pre-2015,1,False,7,14,7,1,0,0,0,0,29,29,0
2011.1,,day,1,pre-2015,1,False,1,4,5,0,16,0,0,0,26,10,16
2011.1,,day,1,pre-2015,1,False,3,5,4,2,12,0,0,0,26,14,12
2011.1,,day,1,pre-2015,1,False,7,7,8,1,2,0,0,0,25,23,2
2011.1,,day,1,pre-2015,1,False,7,10,5,3,0,0,0,0,25,25,0
2011.1,,day,1,pre-2015,1,False,4,7,9,0,3,1,0,0,24,20,4
2011.1,,day,1,pre-2015,1,False,6,7,4,7,1,2,0,0,27,24,3
2011.1,,day,1,pre-2015,1,False,17,6,4,1,0,0,0,0,28,28,0
2011.1,,evening,1,pre-2015,1,False,4,4,8,1,12,0,0,0,29,17,12
2011.1,,evening,1,pre-2015,1,False,0,5,10,0,7,2,0,0,24,15,9
2011.1,,evening,2,pre-2015,1,False,5,6,0,0,4,2,0,0,17,11,6
2011.1,,evening,1,pre-2015,1,False,1,3,3,2,14,0,0,0,23,9,14
2011.1,,evening,1,pre-2015,1,False,2,3,2,0,18,0,0,0,25,7,18
2011.1,,evening,2,pre-2015,1,False,8,5,2,0,0,0,0,0,15,15,0
2011.1,,evening,1,pre-2015,1,False,4,7,9,1,5,2,0,0,28,21,7
2011.1,,evening,2,pre-2015,1,False,8,5,6,0,4,4,0,0,27,19,8
2011.1,,evening,1,pre-2015,1,False,3,5,10,2,4,3,0,0,27,20,7
2011.1,,evening,1,pre-2015,1,False,9,11,4,0,4,0,0,0,28,24,4
2011.1,,evening,1,pre-2015,1,False,8,4,8,4,4,0,0,0,28,24,4
2011.1,,evening,1,pre-2015,1,False,5,8,3,2,8,0,0,0,26,18,8
2011.1,,evening,1,pre-2015,1,False,6,6,7,2,2,1,0,0,24,21,3
2011.1,,evening,1,pre-2015,1,False,4,7,10,0,1,4,0,0,26,21,5
2011.1,,evening,1,pre-2015,1,False,0,5,7,6,2,3,0,0,23,18,5
2011.1,,evening,1,pre-2015,1,False,5,5,3,1,9,0,3,0,23,14,9
2011.1,,evening,1,pre-2015,1,False,1,11,8,0,3,0,0,0,23,20,3
2011.1,,evening,1,pre-2015,1,False,4,2,2,0,15,0,0,0,23,8,15
2011.1,,evening,1,pre-2015,1,False,1,1,1,0,21,0,0,0,24,3,21
2011.1,,evening,1,pre-2015,1,False,1,14,9,0,0,3,0,0,27,24,3
2011.1,,evening,1,pre-2015,1,False,2,14,5,0,0,4,0,0,25,21,4
2011.1,,evening,1,pre-2015,1,False,2,6,6,0,4,7,0,0,25,14,11
2011.1,,evening,1,pre-2015,1,False,2,5,6,3,2,6,0,0,24,16,8
2011.3,,day,1,pre-2015,0,False,1,6,4,4,6,6,0,0,27,15,12
2011.3,,day,1,pre-2015,0,False,3,13,3,0,5,3,0,0,27,19,8
2011.3,,day,1,pre-2015,0,False,4,11,4,0,0,0,9,0,19,19,0
2011.3,,day,1,pre-2015,0,False,2,6,5,5,5,6,0,0,29,18,11
2011.3,,day,1,pre-2015,0,False,1,10,7,0,8,0,0,0,26,18,8
2011.3,,day,1,pre-2015,0,False,5,5,7,2,4,2,0,0,25,19,6
2011.3,,day,1,pre-2015,0,False,2,6,4,1,9,0,0,0,22,13,9
2011.3,,evening,1,pre-2015,0,False,3,3,6,1,8,0,2,0,21,13,8
2011.3,,evening,1,pre-2015,0,False,4,3,4,2,8,0,4,0,21,13,8
2011.3,,evening,1,pre-2015,0,False,2,3,0,0,9,0,0,0,14,5,9
2011.3,,evening,1,pre-2015,0,False,0,3,1,1,8,0,0,0,13,5,8
2012.1,,day,1,pre-2015,1,False,14,3,3,2,3,6,0,0,31,22,9
2012.1,,day,1,pre-2015,1,False,13,6,4,0,4,1,0,0,28,23,5
2012.1,,day,1,pre-2015,1,False,17,7,2,2,2,0,0,0,30,28,2
2012.1,,day,2,pre-2015,1,False,3,6,2,2,5,0,0,0,18,13,5
2012.1,,day,1,pre-2015,1,False,9,5,7,2,4,0,0,0,27,23,4
2012.1,,day,1,pre-2015,1,False,6,9,5,0,3,3,0,0,26,20,6
2012.1,,day,1,pre-2015,1,False,8,9,4,1,4,1,0,0,27,22,5
2012.1,,day,2,pre-2015,1,False,1,12,4,1,3,0,0,0,21,18,3
2012.1,,day,1,pre-2015,1,False,4,4,3,4,12,1,0,0,28,15,13
2012.1,,day,1,pre-2015,1,False,3,6,5,3,6,2,0,0,25,17,8
2012.1,,day,1,pre-2015,1,False,6,6,7,0,6,0,0,0,25,19,6
2012.1,,day,2,pre-2015,1,False,5,10,2,0,5,0,0,0,22,17,5
2012.1,,day,1,pre-2015,1,False,10,4,1,0,11,0,0,0,26,15,11
